smiles,type
[2H]C([2H])([2H])[C@@H](CC1=CC=CC=C1)N.[2H]C([2H])([2H])[C@@H](CC1=CC=CC=C1)N.OS(=O)(=O)O,0.0
[As]#[In],0.0
[B-](F)(F)(F)F.[Na+],0.0
[B-](F)(F)(F)F.C[N+]1=CN(C=C1)CCO,0.0
[B-](F)(F)(F)F.CC[N+]1(CCCC1)C,0.0
[B-](F)(F)(F)F.CC[N+]1=CC=CC=C1,0.0
[B-](F)(F)(F)F.CCC[N+]1(CCCCC1)C,0.0
[B-](F)(F)(F)F.CCCC[N+]1(CCCC1)C,0.0
[B-](F)(F)(F)F.CCCC[N+]1(CCCCC1)C,0.0
[B-](F)(F)(F)F.CCCC[N+]1=CC=C(C=C1)C,0.0
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC(=C1)C,0.0
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1,0.0
[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1C,0.0
[B-](F)(F)(F)F.CCCCCC[N+]1=CC=CC=C1,0.0
[B-](F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C,1.0
[B-](F)(F)(F)F.CCCCCCCCCCCCN1C=C[N+](=C1)C,1.0
[B-](F)(F)(F)F.CCCCCCCCCCN1C=C[N+](=C1)C,1.0
[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,1.0
[B-](F)(F)(F)F.CCCCCCN1C=C[N+](=C1)C,0.0
[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0
[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,0.0
[B-](F)(F)(F)F.CCCN1C=C[N+](=C1)C,0.0
[B-](F)(F)(F)F.CCN1C=C[N+](=C1)C,0.0
[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O,0.0
[C@@H]([C@H](C(=O)[O-])[O-])(C(=O)[O-])[O-].[C@@H]([C@H](C(=O)[O-])[O-])(C(=O)[O-])[O-].O.O.O.[K+].[K+].[Sb+3].[Sb+3],0.0
[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,0.0
[C@@H]([C@H](C(=O)O)S)(C(=O)O)S,0.0
[C@@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)N)O)O,0.0
[C@@H]1([C@H]2[C@@H](C(O[C@@H]1C(=O)O2)O)O)O,0.0
[C@H]1([C@@H]2[C@@H]([C@H](C(=O)O2)O)O[C@H]1O)O,0.0
[C@H]12[C@H]([C@H]3[C@@H]([C@@H]1Cl)O3)C4(C(=C([C@]2(C4(Cl)Cl)Cl)Cl)Cl)Cl,1.0
[C-]#N,1.0
